# 内置种子人名库 —— 保证 day-1 高频词剔名覆盖（spec 语言学文本特征 §4）。
# 以「姓+名」组合为主（非单字），含网文常见名、日本名、西方音译名。
# 每行一个全名；姓/名为派生字段，由 name_library.py 按姓氏表+复姓识别拆分。# 注释。

# ── 中文 姓+名 组合 ──
李伟	李芳	李娜	王秀英	王敏	王静	张丽	张强	张磊	刘军
刘洋	刘勇	陈艳	陈杰	陈娟	杨涛	杨明	杨超	黄霞	黄平
黄刚	赵桂英	赵建华	赵建国	吴志强	吴文军	吴晓明	周海燕	周丽娟	周秀兰
徐桂芳	徐玉梅	徐俊杰	孙志明	孙小红	孙春梅	马雪梅	马建平	马国强	朱秀珍
朱凤英	朱桂兰	胡金凤	胡秀梅	胡卫国	郭建军	郭志华	郭丽华	何秀华	何海涛
何玄	高逸尘	高云霄	林辰	林凡	林渊	罗昊天	罗清	罗萧然	郑无极
郑惊鸿	郑沧澜	梁墨白	梁千寻	梁流云	谢北辰	谢长歌	谢南絮	宋怀瑾	宋素
宋云裳	唐清欢	唐若雪	唐君临	许战天	许破军	许傲天	韩天宇	韩御风	韩凌霄
冯伟	冯芳	邓娜	邓秀英	邓敏	曹静	曹丽	曹强	彭磊	彭军
彭洋	曾勇	曾艳	曾杰	肖娟	肖涛	肖明	田超	田霞	田平
董刚	董桂英	董建华	袁建国	袁志强	袁文军	潘晓明	潘海燕	潘丽娟	于秀兰
于桂芳	于玉梅	蒋俊杰	蒋志明	蒋小红	蔡春梅	蔡雪梅	蔡建平	余国强	余秀珍
余凤英	杜桂兰	杜金凤	杜秀梅	叶卫国	叶建军	叶志华	程丽华	程秀华	程海涛
苏玄	苏逸尘	苏云霄	魏辰	魏凡	吕渊	吕昊天	吕清	丁萧然	丁无极
丁惊鸿	任沧澜	任墨白	任千寻	沈流云	沈北辰	沈长歌	姚南絮	姚怀瑾	姚素
卢云裳	卢清欢	卢若雪	姜君临	姜战天	姜破军	崔傲天	崔天宇	崔御风	钟凌霄
钟伟	谭芳	谭娜	谭秀英	陆敏	陆静	陆丽	汪强	汪磊	汪军
范洋	范勇	范艳	金杰	金娟	金涛	石明	石超	石霞	廖平
廖刚	廖桂英	贾建华	贾建国	贾志强	夏文军	夏晓明	夏海燕	韦丽娟	韦秀兰
韦桂芳	傅玉梅	傅俊杰	傅志明	方小红	方春梅	方雪梅	白建平	白国强	白秀珍
邹凤英	邹桂兰	邹金凤	孟秀梅	孟卫国	孟建军	秦志华	秦丽华	秦秀华	江海涛
江玄	江逸尘	尹云霄	尹辰	薛凡	薛渊	薛昊天	段清	段萧然	段无极
雷惊鸿	雷沧澜	雷墨白	侯千寻	侯流云	侯北辰	龙长歌	龙南絮	龙怀瑾	史素
史云裳	史清欢	陶若雪	陶君临	陶战天	黎破军	黎傲天	黎天宇	贺御风	贺凌霄
顾伟	顾芳	顾娜	毛秀英	毛敏	毛静	郝丽	郝强	郝磊	龚军
龚洋	龚勇	邵艳	邵杰	邵娟	万涛	万明	万超	钱霞	钱平
钱刚	严桂英	严建华	严建国	覃志强	覃文军	覃晓明	武海燕	武丽娟	武秀兰
戴桂芳	戴玉梅	戴俊杰	莫志明	莫小红	莫春梅	孔雪梅	孔建平	孔国强	向秀珍
向凤英	向桂兰	汤金凤	汤秀梅	汤卫国

# ── 复姓 姓+名 组合 ──
诸葛亮	上官婉儿	欧阳锋	司马懿	慕容复	东方不败	令狐冲	西门吹雪	南宫流云	司徒静
夏侯惇	皇甫嵩	欧阳明月	上官云	诸葛卧龙	司马云	慕容雪	长孙无忌	宇文成都	尉迟恭

# ── 网文常见角色名 ──
萧炎	韩立	叶凡	石昊	王林	方源	孟浩	罗峰	秦羽	林动
牧尘	唐三	萧鼎	徐凤年	宁缺	傅红雪	陆沉	江澄	白小纯	王宝乐
张若尘	秦尘	罗修	陈玄	楚风	赵昊	周元	苏铭	顾枫	林惊羽
李慕白	沈浪	纪宁	柳如烟	陆雪琪	碧瑶	云韵	美杜莎	萧薰儿	纳兰嫣然
彩鳞

# ── 日本名（汉字写法） ──
山田太郎	佐藤健	铃木一郎	田中花子	高桥光	渡边一	伊藤诚	中村悠	小林优	上杉绘梨衣
工藤新一	毛利兰	夜神月	赤井秀一	坂田银时	漩涡鸣人	宇智波佐助	春野樱	旗木卡卡西	绫波丽
碇真嗣	蕾姆	拉姆	爱蜜莉雅	桐谷和人	结城明日奈

# ── 西方音译名 ──
杰克	玛丽	威廉	爱丽丝	大卫	汤姆	艾米丽	约翰	莉莉	查理
安娜	彼得	苏菲	亨利	艾玛	乔治	伊莎贝拉	迈克	奥利维亚	詹姆斯
夏洛特	本杰明	艾娃	卢卡斯	米娅	亚瑟	罗丝	爱德华	贝拉	哈利
赫敏	罗恩	西门	凯特	露西	薇薇安	莱昂纳多	卡特琳娜
